address,type,price,details,url
"136 S Kenilworth Ave #1e, Oak Park, IL 60302",SingleFamilyResidence,"$1,335/mo",2 bds1 ba950 sqft- Apartment for rent,https://www.zillow.com/homedetails/136-S-Kenilworth-Ave-1E-Oak-Park-IL-60302/2073187050_zpid/
"3434 W Drummond Pl #g, Chicago, IL 60647",SingleFamilyResidence,"$1,700/mo",3 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/3434-W-Drummond-Pl-G-Chicago-IL-60647/2073187565_zpid/
"3029 N Troy St #1, Chicago, IL 60618",SingleFamilyResidence,"$1,650/mo","2 bds2 ba1,400 sqft- Apartment for rent",https://www.zillow.com/homedetails/3029-N-Troy-St-1-Chicago-IL-60618/2074045619_zpid/
"437 Duane St, Glen Ellyn, IL", 1 bd,"$1,975+ 1 bd", 1 bd,https://www.zillow.com/homedetails/437-Duane-St-Glen-Ellyn-IL
"3325 N Pulaski Rd, Chicago, IL 60641",SingleFamilyResidence,"$1,300/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/3325-N-Pulaski-Rd-Chicago-IL-60641/2118648017_zpid/
"406 Wesley Ave Apt 3, Oak Park, IL 60302",SingleFamilyResidence,"$1,350/mo",1 bd1 ba880 sqft- Apartment for rent,https://www.zillow.com/homedetails/406-Wesley-Ave-APT-3-Oak-Park-IL-60302/87700954_zpid/
"1028 N Austin Blvd Apt 2w, Oak Park, IL 60302",SingleFamilyResidence,"$1,450/mo",2 bds1 ba820 sqft- Apartment for rent,https://www.zillow.com/homedetails/1028-N-Austin-Blvd-APT-2W-Oak-Park-IL-60302/2087332779_zpid/
"2737 N Lockwood Ave Unit 1, Chicago, IL 60639",SingleFamilyResidence,"$1,194/mo","1 bd1 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/2737-N-Lockwood-Ave-UNIT-1-Chicago-IL-60639/2073211376_zpid/
"3020 N Elbridge Ave, Chicago, IL 60618",SingleFamilyResidence,"$1,575/mo","2 bds1 ba1,914 sqft- Apartment for rent",https://www.zillow.com/homedetails/3020-N-Elbridge-Ave-Chicago-IL-60618/2093190214_zpid/
"2909 N Central Park Ave #1, Chicago, IL 60618",SingleFamilyResidence,"$1,725/mo","2 bds1 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/2909-N-Central-Park-Ave-1-Chicago-IL-60618/2094686477_zpid/
"1621 N Kimball Ave #1, Chicago, IL 60647",SingleFamilyResidence,"$2,000/mo","3 bds1 ba1,100 sqft- Apartment for rent",https://www.zillow.com/homedetails/1621-N-Kimball-Ave-1-Chicago-IL-60647/2080017799_zpid/
